token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
签证,2,89,0.3098159549697781,16,0.02579292679886941,0.036024799419144465,0.5643264842959007,79,0.1647579034093475,0.3995685808865532,0.3126708053966285,5,qiānzhèng,visa; to issue a visa,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
证书,2,89,0.3047987087546572,16,-0.0008814786304044975,-0.001267947343459925,0.5941319751538816,16,0.17695432569444383,0.4171776494594378,0.310623119560835,5,zhèngshū,credentials; certificate,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.25
填写,2,89,0.30474095146116337,16,-0.023411177949486772,-0.03367259728397342,0.3756512766141663,16,0.14374403161292143,0.23190724500124488,0.4587559949123868,7-9,tiánxiě,to fill in a form; to write data in a box (on a questionnaire or web form),Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.0
缴费,2,89,0.304214480515993,37,0.016265240975275597,0.02284281104451639,0.3223794395907646,37,0.23797268491775947,0.08440675467300512,0.4419663467652368,7-9,jiǎofèi,to pay a fee,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
支付,2,89,0.30332386176919035,37,0.012643874451138015,0.0178253457185444,0.279391069461117,37,0.22509045271028374,0.05430061675083328,0.4841348702011029,3,zhīfù,to pay (money),Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
办理,2,89,0.3031328088010509,16,0.003101751122522811,0.004431269639243991,0.21445885187543304,16,0.1659063278040714,0.048552524071361625,0.49783792757563344,3,bànlǐ,to handle; to transact; to conduct,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.5
一卡通,2,89,0.3025506509878348,79,0.04874158515579896,0.06532052712506899,0.38855215197849685,79,0.18138746453408267,0.2071646874444142,0.4666169263315753,7-9,yīkǎtōng,"the name of various contactless smart cards, notably Yikatong (mainly for public transport in Beijing) and iPASS (mainly for public transport in Taiwan)",Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
印章,2,89,0.3008472305347591,57,0.037356728170054365,0.050721312203027044,0.5803424393690209,157,0.1150200208118052,0.4653224185572157,0.3207409729756233,7-9,yìnzhāng,seal; signet; chop; stamp,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,0.25
密码,2,89,0.299517479212899,191,0.03208338045338038,0.04379589658630348,0.3587592785566556,191,0.16282716893675386,0.19593210961990176,0.4629899875891892,4,mìmǎ,cipher; secret code; password; PIN,Translation,音响 | 开关 | 电铃 | 录音机 | 电脑 | 按键 | 遥控 | 收音机 | 音量 | 话筒 | 显示器 | 门铃,0.25
还款,2,89,0.2994378490285027,37,0.012089025845259171,0.01696345454624516,0.444525302780251,37,0.24717524813509795,0.19735005464515304,0.37592060813328454,7-9,huán kuǎn,repayment; to pay back money,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
押金,2,89,0.2970027904408355,37,0.030121428516192483,0.04108670405006973,0.4239262197866459,37,0.16674696844836326,0.2571792513382827,0.4327269415736249,5,yājīn,deposit; down payment,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
通行证,2,89,0.29684156299126385,79,0.04890963758206432,0.06503352453656011,0.6982884370013527,79,0.09669855751604403,0.6015898794853086,0.29590959168267095,7-9,tōngxíngzhèng,a pass (authority to enter); a laissez-passer or safe conduct,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
公证,2,89,0.29410885479628696,43,0.00880479786738353,0.012319641594086458,0.2356551387809502,43,0.1476447645473897,0.0880103742335605,0.5590704861501278,7-9,gōngzhèng,notarization; notarized; acknowledgement,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,0.75
话费,2,89,0.293125355590775,6,-0.007028434429291741,-0.009942971479993961,0.5782913062337084,6,0.198782367735431,0.3795089384982774,0.2957943500004481,7-9,huàfèi,call charge,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,1.0
账号,2,89,0.29283495458576825,56,0.032762012552322584,0.044277354368359195,0.2927735692312675,56,0.19185976787511888,0.10091380135614864,0.49318106624639807,7-9,zhànghào,account; username,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.25
号码,2,89,0.28902494218016217,56,0.035837275027453264,0.04798698876707129,0.4110873962905855,118,0.22068909939505787,0.19039829689552762,0.43346519468413175,4,hàomǎ,number,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
定金,2,89,0.2888530564843683,6,-0.02621982154520852,-0.03686976620554397,0.3743390100719852,6,0.2236484678293693,0.1506905422426159,0.3862813486501943,7-9,dìngjīn,down payment; advance payment,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,1.0
执照,2,89,0.28789551698930593,16,0.018214912848185494,0.024941022998251624,0.3853315107829867,16,0.24172636305929748,0.14360514772368924,0.42330103610367836,7-9,zhízhào,license; permit,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.25
外币,2,89,0.2831446013788746,37,0.008549140356287954,0.0117853416913263,0.3125134551633739,37,0.1412532746462686,0.17126018051710531,0.5240564184383519,6,wàibì,foreign currency,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
许可证,2,89,0.28235072643799664,182,0.0016859057129838817,0.002343699796085455,0.2809387045684161,16,0.15323334566645444,0.12770535890196164,0.5657639497830126,7-9,xǔkězhèng,license; authorization; permit,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.5
通知书,2,89,0.28131266765941515,16,-0.003587493507235362,-0.004991730542337303,0.500085366070925,16,0.09668842654842413,0.4033969395225009,0.4018181211353964,4,tōngzhīshū,written notice,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.75
款项,2,89,0.2796158552409867,37,-0.01427969707438237,-0.019822336705035738,0.28681947703461363,37,0.25292198593550336,0.03389749109911028,0.44889397800353,7-9,kuǎnxiàng,funds; a sum of money,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.5
便条,2,89,0.277878791023419,118,-0.013085091517020031,-0.01812035341762734,0.7155997105136612,56,0.11908201971524794,0.5965176907984133,0.19672404124210385,5,biàntiáo,(informal) note,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.25
签字,2,89,0.27786258928576457,43,-0.00007736664668583915,-0.00010713563033574814,0.20254468694553648,43,0.18314631372873577,0.019398373216800713,0.5178840126188541,5,qiānzì,to sign (one's name); signature,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,0.0
文件,2,89,0.2728207187466572,11,0.003945700376675132,0.005396752232263044,0.24192014731255557,56,0.19302242188305624,0.04889772542949933,0.5218968303289229,3,wénjiàn,document; file,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.25
协议书,2,89,0.27076839433605754,186,-0.00030243365363857855,-0.000414729218110647,0.25169304823978655,43,0.1105042564979528,0.14118879174183374,0.581611836181238,5,xiéyìshū,contract; protocol,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,0.75
住址,2,89,0.26920007990075345,105,0.0018462760655259536,0.0025200104432273342,0.6397693349338369,56,0.056859065523897946,0.582910269409939,0.3590824864043049,7-9,zhùzhǐ,address,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.25
邮局,2,89,0.2655705832435714,11,-0.033968123580198906,-0.046251038976920886,0.23879475162017555,26,0.16459987325177727,0.07419487836839828,0.5311583626909954,4,yóujú,post office,Translation,商场 | 旅馆 | 饭店 | 餐厅 | 宾馆 | 饭馆 | 餐馆 | 酒楼 | 酒吧 | 停车场 | 舞厅 | 公园,0.25
名片,2,89,0.2653037997653866,13,0.0037858716798973013,0.005126558685551364,0.49844603722793146,118,0.1287191134493764,0.3697269237785551,0.3976443473014485,4,míngpiàn,(business) card,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
收费,2,89,0.2649056676794523,6,-0.01888999404601205,-0.025697374085826525,0.26410338620921,6,0.14935268471173663,0.11475070149747335,0.479739671867496,3,shōufèi,to charge a fee,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,0.75
现金,2,89,0.26483428525752667,37,-0.022467918137600074,-0.030561705595139755,0.3228763973258022,37,0.2081298191051384,0.11474657822066381,0.45745889303666126,3,xiànjīn,cash,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
零钱,2,89,0.26419667276521336,158,-0.03498308167176506,-0.04754406561768957,0.26790191443454753,157,0.18867930515686418,0.07922260927768335,0.5050267464219476,7-9,língqián,change (of money); small change; pocket money,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,0.25
账,2,89,0.26383037487621963,37,0.018872095776846037,0.024994772148928483,0.2914441219094207,37,0.12614771285917284,0.16529640905024787,0.6178117070131748,6,zhàng,account; bill; debt,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
二维码,2,89,0.2623198075331105,137,0.010685182506597335,0.014278028973448967,0.17111847846474323,137,0.15243513445089743,0.018683344013845804,0.6464783256239697,5,èrwéimǎ,two-dimensional barcode; QR code,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,0.5
注册,2,89,0.2618965414523547,16,-0.03349192949061608,-0.04537565716941326,0.17159468690554872,16,0.12115775194382375,0.050436934961724966,0.6331804370472067,5,zhùcè,to register; to enroll,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,1.0
档案,2,89,0.2608593340894684,11,-0.0029697894397727187,-0.004017894802357213,0.24148770516870682,118,0.1346624529605459,0.10682525220816091,0.6068462912484761,6,dàng'àn,file; record; archive,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
逾期,2,89,0.260486425956701,43,-0.009580293392618122,-0.012954858070065918,0.1584355205436091,43,0.13525440643768571,0.023181114105923384,0.604653791259042,7-9,yúqī,to be overdue; to fail to meet a deadline; to be behind in doing sth,Translation,判决 | 驳回 | 裁决 | 起诉 | 上诉 | 裁定 | 法院 | 控告 | 仲裁 | 罢免 | 法庭 | 免职,0.25
认证,2,89,0.25770386344743096,16,-0.05799979893066093,-0.07813566051957144,0.2155302550315991,16,0.16947664128576811,0.046053613745830974,0.5663005662333005,7-9,rènzhèng,to authenticate; to approve,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.25
姓名,2,89,0.2560690737757272,56,0.0017867535441825622,0.0023960187516773737,0.33818485284595057,118,0.13684259876494764,0.20134225408100292,0.49410630529154037,2,xìngmíng,full name; surname and given name,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
活期,2,89,0.25439335102085076,37,0.0067148037759559576,0.008925445035982109,0.1940557391553731,37,0.11301682714061026,0.08103891201476285,0.6630468434832044,7-9,huóqī,(banking) current (account); checking (account); demand (deposit etc),Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
牌照,2,89,0.2531937162495408,79,0.012420816475449625,0.016359817071537282,0.19168218114030175,79,0.09962220449772698,0.09205997664257477,0.678508728240329,7-9,páizhào,(business) license; vehicle license; car registration; license plate,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
告示,2,89,0.25194293324364864,129,-0.03361580153308463,-0.04493748274960616,0.3562322966962194,56,0.2185427478269585,0.1376895488692609,0.4936700492975973,7-9,gàoshi,announcement,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.0
彩票,2,89,0.25004777535752554,11,0.0014221966972355893,0.001892793601756817,0.16067021333447382,44,0.12217862073690641,0.0384915925975674,0.6209956435120584,5,cǎipiào,lottery ticket,Translation,牛奶 | 米饭 | 橙汁 | 果汁 | 酸奶 | 罐头 | 肉 | 红薯 | 豆腐 | 面条儿 | 薯片 | 水果,1.0
地址,2,89,0.24549256745041192,163,-0.05302298256499466,-0.07027496387387797,0.23020818523393,137,0.14467124000899148,0.08553694522493852,0.5753078133092285,4,dìzhǐ,address,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,0.25
信息,2,89,0.24483151059247985,56,-0.013259992572454277,-0.017558985522366795,0.16508952357709997,137,0.07710663170927862,0.08798289186782135,0.7070530383717875,2,xìnxī,information; news; message,Translation,播放 | 视频 | 录像 | 下载 | 录制 | 录音 | 直播 | 转播 | 图像 | 播出 | 照片 | 相片,0.75
有效期,2,89,0.24383006710034205,6,0.00560974038630685,0.007363993268695359,0.1581319454445664,6,0.06906947295040307,0.08906247249416334,0.72075967171942,7-9,yǒuxiàoqī,period of validity; sell-by date,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,1.0
清单,2,89,0.24334175002327535,71,0.004251842370586234,0.005587838055176513,0.2372603806160475,118,0.11696914741860735,0.12029123319744016,0.6549963101751675,7-9,qīngdān,list of items,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.75
许可,2,89,0.24262810349702574,182,-0.0798234048295483,-0.10539525588171178,0.1325038813836313,16,0.11055161107566402,0.021952270307967287,0.6497215100439079,5,xǔkě,to allow; to permit,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.5
保修,2,89,0.24215803120744672,6,-0.037084734904024086,-0.048934654494142193,0.13713479185931332,14,0.12219196155949177,0.014942830299821547,0.6541919380103588,7-9,bǎoxiū,to promise to keep sth in good repair; guarantee; warranty,Translation,安装 | 建造 | 修建 | 兴建 | 扩建 | 建成 | 拆除 | 竣工 | 动工 | 配备 | 改装 | 维修,1.0
工商,2,89,0.24004908105323455,43,0.015650709581519234,0.020178799277686805,0.10182006817205794,79,0.08876450971062884,0.013055558461429098,0.6961882485385935,6,gōngshāng,industry and commerce,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,0.75
中介,2,89,0.23921710122079876,143,-0.0013024135607005993,-0.0017119385343578723,0.09455382848216988,79,0.08611805024239624,0.008435778239773636,0.7185277763682201,4,zhōngjiè,to act as intermediary; to link; intermediate; inter-; agency; agent,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
月票,2,89,0.23787144964133508,87,-0.03148621650468894,-0.04131352445708949,0.36912884507572163,6,0.2069065739869972,0.16222227108872445,0.46762383454289813,7-9,yuèpiào,monthly ticket,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,0.5
理财,2,89,0.23432380552205048,37,-0.013384959617463943,-0.01748122733081715,0.09499942652439129,37,0.09345517222811846,0.0015442542962728345,0.7389652308096029,6,lǐcái,to manage wealth; to manage finances; money management,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
商标,2,89,0.23043094921187549,43,-0.019720785421529247,-0.02562575171303088,0.11263033581895815,44,0.10528447460594258,0.007345861213015573,0.6990793250985023,5,shāngbiāo,trademark; logo,Translation,牛奶 | 米饭 | 橙汁 | 果汁 | 酸奶 | 罐头 | 肉 | 红薯 | 豆腐 | 面条儿 | 薯片 | 水果,0.25
付费,2,89,0.23035448866092825,6,-0.039004538319352605,-0.05067857571401973,0.15878279035980766,6,0.12115636800098223,0.037626422358825434,0.6556446667178366,7-9,fùfèi,to pay; to cover the costs,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,0.75
说明书,2,89,0.22986971671397002,11,-0.016400779403774796,-0.02129611022929155,0.09654327010152408,118,0.09637969777699576,0.0001635723245283216,0.7587412281545056,6,shuōmíngshū,(technical) manual; (book of) directions; synopsis (of a play or film); specification (patent),Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
票,2,89,0.22981905391292257,158,0.0043912224586756254,0.005669223136328376,0.12111123860000911,44,0.1204805225749771,0.0006307160250320076,0.6763235204457329,1,piào,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions",Translation,牛奶 | 米饭 | 橙汁 | 果汁 | 酸奶 | 罐头 | 肉 | 红薯 | 豆腐 | 面条儿 | 薯片 | 水果,0.75
保密,2,89,0.2297473607471362,182,-0.023188782944353503,-0.03010542484715963,0.05901186605775068,135,0.05815292490719745,0.0008589411505532316,0.7753683532350261,4,bǎomì,to keep sth confidential; to maintain secrecy,Translation,检测 | 监测 | 测量 | 监控 | 测试 | 试验 | 检查 | 观测 | 探测 | 检验 | 化验 | 测定,0.0
笔,2,89,0.22857435858491873,197,-0.02286890178983822,-0.02964498528709544,0.4386227909421488,37,0.09139569207339718,0.3472270988687516,0.5025438759763984,2,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
